mbfc_url,name,url,leaning
http://mediabiasfactcheck.com/100-percent-fed-up/,100-percent-fed-up,https://100percentfedup.com/,extremeright
http://mediabiasfactcheck.com/1600-daily/,1600-daily,https://www.whitehouse.gov/1600daily,right
http://mediabiasfactcheck.com/247-news-media/,247-news-media,http://247newsmedia.com/,extremeright
http://mediabiasfactcheck.com/9-news-australia/,9-news-australia,http://www.9news.com.au/,right-center
http://mediabiasfactcheck.com/a-voice-for-men/,a-voice-for-men,https://www.avoiceformen.com/,right
http://mediabiasfactcheck.com/abc-news-australia/,abc-news-australia,https://www.abc.net.au,leftcenter
http://mediabiasfactcheck.com/abc-news/,abc-news,http://abcnews.go.com/,leftcenter
http://mediabiasfactcheck.com/above-the-law/,above-the-law,http://abovethelaw.com/,leftcenter
http://mediabiasfactcheck.com/accuracy-in-media-aim/,accuracy-in-media-aim,http://www.aim.org/,right
http://mediabiasfactcheck.com/acting-man/,acting-man,http://www.acting-man.com/,right
http://mediabiasfactcheck.com/addicting-info/,addicting-info,http://addictinginfo.com,left
http://mediabiasfactcheck.com/advocate/,advocate,http://www.advocate.com/,left
http://mediabiasfactcheck.com/aeon/,aeon,https://aeon.co/,leftcenter
http://mediabiasfactcheck.com/afp-agence-france-presse/,afp-agence-france-presse,https://www.afp.com/en/home,center
http://mediabiasfactcheck.com/africa-news/,africa-news,http://www.africanews.com/,center
http://mediabiasfactcheck.com/against-crony-capitialism/,against-crony-capitialism,https://www.ac2news.com,right
http://mediabiasfactcheck.com/age-of-shitlords/,age-of-shitlords,https://ageofshitlords.com/,right
http://mediabiasfactcheck.com/agerpres/,agerpres,https://www.agerpres.ro/english,center
http://mediabiasfactcheck.com/ahram-online/,ahram-online,http://english.ahram.org.eg/,center
http://mediabiasfactcheck.com/akron-beacon-journal/,akron-beacon-journal,http://www.ohio.com/,leftcenter
http://mediabiasfactcheck.com/al-arabiya/,al-arabiya,https://english.alarabiya.net/,center
http://mediabiasfactcheck.com/al-bawaba/,al-bawaba,http://www.albawaba.com/,center
http://mediabiasfactcheck.com/al-jazeera/,al-jazeera,http://www.aljazeera.com/,leftcenter
http://mediabiasfactcheck.com/al-majalla/,al-majalla,http://eng.majalla.com/,center
http://mediabiasfactcheck.com/al-monitor/,al-monitor,http://www.al-monitor.com/pulse/home.html,leftcenter
http://mediabiasfactcheck.com/alabama-observer/,alabama-observer,http://alabamaobserver.com/,right
http://mediabiasfactcheck.com/alan-guttmacher-institute/,alan-guttmacher-institute,https://www.guttmacher.org/,leftcenter
http://mediabiasfactcheck.com/alaska-dispatch-news/,alaska-dispatch-news,http://www.adn.com/,leftcenter
http://mediabiasfactcheck.com/albany-times-union/,albany-times-union,http://www.timesunion.com/,leftcenter
http://mediabiasfactcheck.com/albuquerque-journal/,albuquerque-journal,https://www.abqjournal.com/,right-center
http://mediabiasfactcheck.com/all-news-pipeline/,all-news-pipeline,http://allnewspipeline.com/,extremeright
http://mediabiasfactcheck.com/all-thats-fab/,all-thats-fab,http://www.allthatsfab.com/,left
http://mediabiasfactcheck.com/allen-b-west/,allen-b-west,http://www.allenbwest.com/,right
http://mediabiasfactcheck.com/allen-west-republic/,allen-west-republic,http://allenwestrepublic.com/,extremeright
http://mediabiasfactcheck.com/alternative-media-syndicate/,alternative-media-syndicate,http://alternativemediasyndicate.com,left
http://mediabiasfactcheck.com/alternet/,alternet,http://www.alternet.org/,left
http://mediabiasfactcheck.com/am-new-york/,am-new-york,http://www.amny.com/,leftcenter
